,beta,em_recall,em_precision,em_f1,dr_recall,dr_precision,dr_f1
0,0.05,0.17,0.548387097,0.25954198475811435,0.10751073,0.275714286,0.15469889971529824
1,0.1,0.33,0.568965517,0.41772151892228815,0.155714286,0.304444444,0.2060434634115362
2,0.15,0.64,0.680851064,0.6597938145129131,0.257346939,0.347313433,0.29563719732614324
3,0.2,0.76,0.716981132,0.7378640776299368,0.322051282,0.383533835,0.3501138566450983
4,0.25,0.93,0.809917355,0.8658148480276525,0.388604651,0.450163934,0.4171252991428072
5,0.3,0.95,0.871559633,0.9090909090759368,0.453533835,0.53591623,0.4912954208166979
6,0.35,1.0,0.934579439,0.9661835747443814,0.54254902,0.622772277,0.5798992766018564
7,0.4,1.0,0.961538462,0.9803921571026528,0.689387755,0.688461538,0.6889243351894904
8,0.45,1.0,0.980392157,0.9900990099709832,0.759487179,0.858757062,0.8060773051930276
9,0.5,1.0,0.980392157,0.9900990099709832,0.837260274,0.922535211,0.8778316459159546
10,0.55,1.0,0.99009901,0.9950248756718894,0.924306569,0.955223881,0.9395109380366509
11,0.6,1.0,1.0,1.0,0.96037037,0.984962406,0.972510947182345
12,0.65,1.0,1.0,1.0,0.984,0.991935484,0.9879518072929147
13,0.7,1.0,1.0,1.0,0.984375,0.992125984,0.9882352939926491
14,0.75,1.0,0.99009901,0.9950248756718894,0.992027972,0.995277778,0.9936502178248175
15,0.8,1.0,1.0,1.0,1.0,1.0,1.0
16,0.85,1.0,1.0,1.0,0.994732824,1.0,0.9973594579000119
17,0.9,1.0,0.99009901,0.9950248756718894,0.991803279,0.983739837,0.987755101994469
18,0.95,1.0,0.980392157,0.9900990099709832,0.991935484,0.996190476,0.9940584267279025
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,1.5,1.0,1.0,1.0,1.0,1.0,1.0
21,2.0,1.0,0.99009901,0.9950248756718894,0.992,0.99412698,0.9930623510889521
22,2.5,1.0,1.0,1.0,1.0,1.0,1.0
23,3.0,1.0,1.0,1.0,1.0,1.0,1.0
24,3.5,1.0,1.0,1.0,1.0,1.0,1.0
25,4.0,1.0,1.0,1.0,1.0,1.0,1.0
26,4.5,1.0,1.0,1.0,1.0,1.0,1.0
27,5.0,1.0,0.99009901,0.9950248756718894,0.99242424,0.99496241,0.9936917042014128
