,beta,em_recall,em_precision,em_f1,dr_recall,dr_precision,dr_f1
0,0.05,0.75,0.5,0.6,0.25,0.25,0.25
1,0.1,0.8,0.52,0.6303030303030304,0.27,0.357,0.3074641148325359
2,0.15,0.875,0.558461538,0.6817815934312149,0.320754717,0.456,0.3766031869543189
3,0.2,0.904761905,0.62295082,0.7378640779790744,0.355555556,0.520512821,0.4225040655149306
4,0.25,0.910714286,0.671052632,0.7727272731092746,0.40952381,0.606296296,0.48885185016569804
5,0.3,0.946190476,0.76635514,0.8468305053331165,0.48617284,0.683921569,0.5683372025034364
6,0.35,0.954545455,0.807692308,0.8750000003715279,0.565517241,0.756116505,0.647073247147796
7,0.4,0.955909091,0.83952381,0.893944231102131,0.631578947,0.775046729,0.6959963909795919
8,0.45,0.966521739,0.84,0.8988303248533452,0.652244898,0.782608696,0.7115046876293819
9,0.5,0.979591837,0.857142857,0.9142857143199999,0.698571429,0.818965517,0.7539927288365522
10,0.55,0.989583333,0.881965812,0.9326804697196572,0.742068966,0.82,0.779090507992334
11,0.6,0.99,0.908448276,0.9474725275475455,0.816302521,0.839230769,0.8276078730322224
12,0.65,1.0,0.925925926,0.9615384615784023,0.855855856,0.841559633,0.8486475406214005
13,0.7,1.0,0.934579439,0.9661835747443814,0.892156863,0.866666667,0.8792270534354126
14,0.75,1.0,0.942380952,0.9703358664320345,0.91588785,0.899082569,0.9074074072761917
15,0.8,1.0,0.952380952,0.97560975589768,0.932038835,0.941176471,0.9365853660820463
16,0.85,1.0,0.973396226,0.9865187874338217,0.94,0.960693069,0.9502338905619484
17,0.9,1.0,0.99009901,0.9950248756718894,0.987804878,0.975903614,0.9818181815623875
18,0.95,1.0,1.0,1.0,0.98826087,0.977368421,0.9827844654844291
19,1.0,1.0,1.0,1.0,0.99873913,0.977083333,0.9877925534425107
20,1.5,1.0,1.0,1.0,0.997777778,0.986170213,0.9919400390742669
21,2.0,1.0,0.99009901,0.9950248756718894,0.998505747,0.979272727,0.9887957206979513
22,2.5,1.0,1.0,1.0,1.0,1.0,1.0
23,3.0,1.0,1.0,1.0,1.0,1.0,1.0
24,3.5,1.0,0.980392157,0.9900990099709832,0.998021978,0.986989247,0.9924749524332493
25,4.0,1.0,1.0,1.0,1.0,1.0,1.0
26,4.5,1.0,0.99009901,0.9950248756718894,0.9875,0.995308642,0.9913889451113256
27,5.0,1.0,1.0,1.0,1.0,1.0,1.0
