,beta,em_recall,em_precision,em_f1,dr_recall,dr_precision,dr_f1
0,0.05,0.805,0.52,0.6318490566037736,0.2,0.2,0.20000000000000004
1,0.1,0.824615385,0.582278481,0.6825757157534301,0.276190476,0.276190476,0.276190476
2,0.15,0.878205128,0.643192488,0.7425474252257255,0.311926606,0.47223301,0.3756940220968076
3,0.2,0.925531915,0.710204082,0.8036951503907963,0.364179104,0.55223301,0.4389110962385708
4,0.25,0.953608247,0.793991416,0.8665105382831695,0.43521327,0.581632653,0.49788122885733455
5,0.3,1.0,0.814814815,0.8979591837859224,0.534403292,0.661025641,0.5910084136248862
6,0.35,1.0,0.877192982,0.9345794389934492,0.67580899,0.72718232,0.7005550864389272
7,0.4,1.0,0.913242009,0.9546539378751431,0.73,0.81097561,0.7683602406919341
8,0.45,1.0,0.966183575,0.9828009828634643,0.800512821,0.864864865,0.8314455257627779
9,0.5,1.0,0.961538462,0.9803921571026528,0.873992933,0.903571429,0.8885360893691355
10,0.55,1.0,0.9569378,0.9779951105242077,0.92703125,0.93155894,0.9292895800734587
11,0.6,1.0,0.98039216,0.9900990115008331,0.96309963,0.95955882,0.9613259645832951
12,0.65,1.0,0.99009901,0.9950248756718894,0.96694215,0.96694215,0.96694215
13,0.7,1.0,1.0,1.0,1.0,1.0,1.0
14,0.75,1.0,1.0,1.0,0.99170124,0.99583333,0.9937629896865936
15,0.8,1.0,1.0,1.0,1.0,1.0,1.0
16,0.85,1.0,1.0,1.0,1.0,1.0,1.0
17,0.9,1.0,0.99009901,0.9950248756718894,0.99156118,0.9832636,0.9873949581157758
18,0.95,1.0,1.0,1.0,1.0,1.0,1.0
19,1.0,1.0,0.99009901,0.9950248756718894,0.99209486,0.98431373,0.9881889778271281
20,1.5,1.0,0.99502488,0.9975062366139514,0.9958159,0.99166667,0.9937369538652637
21,2.0,1.0,0.99502488,0.9975062366139514,0.995671,0.99137931,0.9935205203405343
22,2.5,1.0,0.99502488,0.9975062366139514,0.99502488,0.99009901,0.992555833493464
23,3.0,1.0,1.0,1.0,1.0,1.0,1.0
24,3.5,1.0,1.0,1.0,1.0,1.0,1.0
25,4.0,1.0,0.99502488,0.9975062366139514,0.99547511,0.99099099,0.9932279889188734
26,4.5,1.0,0.99502488,0.9975062366139514,0.99601594,0.99206349,0.99403578611749
27,5.0,1.0,0.99502488,0.9975062366139514,0.99610895,0.99224806,0.9941747565605806
